channel,posts_per_week,avg_price,lending_score
AwasMart,36.85333333333333,1332.905982905983,0.6227933515017783
nevacomputer,10.074468085106384,23391.136363636364,0.44231376917915977
ZemenExpress,18.19172932330827,1668.2025435704193,0.23988778266514213
qnashcom,15.323144104803493,1084.0341095441129,0.17015817364450136
Leyueqa,14.246031746031745,2320.3061224489797,0.16886751347583911
meneshayeofficial,9.308510638297872,4813.636363636364,0.10867779976703562
marakisat2,10.591478696741854,2779.4,0.10060994562624942
belaclassic,8.168831168831169,3874.0,0.06887503194610904
sinayelj,8.042654028436019,3716.1338582677167,0.0635477268055225
ethio_brand_collection,8.259541984732824,,0.004516824209554919
